   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
          0.00072209,             0.10458,           0.0013868,          0.00040515,             0.13335,              0.1466,            0.050575,              0.0063,             0.01485,             0.96927,             0.00046,              3.1301,                0.95,             0.07868,             0.06083,             0.47541,              1.0164,              1.1489,              1.3557,                 0.2,              4.9421,                   0,             0.01336,             0.88356,             0.38003,                   0,             0.08291,             0.43465,                   0,                   0,                   0,                 0.5,             0.81721,                   0,                   0,              3.6646
          0.00077487,             0.10784,          0.00074234,          0.00023388,             0.11434,            0.084137,            0.052539,             0.00716,              0.0142,             0.96148,             0.00043,              3.0577,             0.92098,             0.10623,              0.0523,             0.44117,               1.168,             0.94755,             0.90372,                 0.2,              4.5055,                   0,             0.01404,             0.61099,             0.28149,                   0,             0.09063,             0.43559,                   0,                   0,                   0,                 0.5,             0.86356,                   0,                   0,              3.8446
                   0,                   0,                   0,                   0,             0.13156,            0.086197,            0.052622,             0.00704,             0.01299,             0.94672,             0.00053,              3.2029,             0.82481,             0.10757,             0.06046,             0.46741,              1.0899,             0.98397,             0.89295,                 0.2,              4.0737,                   0,             0.01478,             0.71703,             0.36714,                   0,             0.09474,             0.42056,                   0,                   0,                   0,                 0.5,             0.66362,                   0,                   0,              4.1818
          0.00077771,             0.10784,          0.00079503,          0.00024772,             0.11472,             0.08994,            0.050764,             0.00747,             0.01235,             0.95551,             0.00048,              3.1132,             0.90225,             0.11029,             0.05277,             0.46287,              1.0553,              1.0304,             0.88747,                 0.2,              4.0508,                   0,              0.0148,             0.73844,             0.35505,                   0,             0.09558,             0.42126,                   0,                   0,                   0,                 0.5,             0.77055,                   0,                   0,              3.8274
                   0,                   0,                   0,                   0,             0.10554,            0.096817,            0.044683,             0.00944,             0.01076,             0.95521,             0.00051,              3.4684,             0.87618,             0.10941,             0.04876,             0.44235,             0.95183,              1.0555,             0.94008,                 0.2,              3.6477,                   0,             0.01536,             0.82883,             0.35891,                   0,             0.09452,             0.38573,                   0,                   0,                   0,                 0.5,             0.74896,                   0,                   0,              3.7617
          0.00079851,             0.11765,          0.00071725,          0.00015693,             0.10745,            0.087493,            0.052741,             0.00723,             0.01238,             0.94268,             0.00048,              3.0004,             0.92978,             0.10941,             0.04867,             0.49955,              1.0064,              1.0429,             0.89295,                 0.2,              4.1943,                   0,             0.01434,             0.73844,             0.34034,                   0,              0.0958,             0.42548,                   0,                   0,                   0,                 0.5,             0.84854,                   0,                   0,              3.4811
          0.00082069,             0.12092,          0.00074146,          0.00015575,             0.10372,            0.074586,            0.053974,             0.00796,              0.0125,                0.98,             0.00044,              3.1715,             0.90745,             0.10902,             0.04694,             0.47731,              1.0958,             0.80876,             0.99806,                 0.2,              4.2201,                   0,             0.01408,             0.75091,             0.36879,                   0,             0.09573,             0.45673,                   0,                   0,                   0,                 0.5,             0.75126,                   0,                   0,              3.3363
          0.00014966,            0.019231,          8.7269e-05,          1.5544e-05,             0.11325,             0.09143,            0.055575,             0.00748,             0.01235,             0.95921,             0.00045,              3.1255,                0.95,             0.10933,             0.05203,             0.46999,              1.1571,              1.0402,             0.89295,                 0.2,              4.2085,                   0,             0.01542,             0.77301,             0.40344,                   0,             0.09573,             0.44265,                   0,                   0,                   0,                 0.5,             0.77112,                   0,                   0,              4.9548
          0.00070979,             0.10458,            0.000806,           0.0002493,             0.11023,             0.11203,            0.049076,             0.00685,             0.01235,             0.95636,             0.00044,              3.7999,                0.95,             0.10589,             0.05048,             0.44998,              1.0482,              1.0386,               1.126,                 0.2,              4.4866,                   0,             0.01742,              0.7326,             0.28016,                   0,             0.06815,             0.42056,                   0,                   0,                   0,                 0.5,             0.77112,                   0,                   0,              3.7617
                   0,                   0,                   0,                   0,             0.11636,            0.086358,             0.04916,             0.00694,             0.01235,             0.97538,             0.00058,              3.1255,             0.76939,             0.11598,             0.05345,             0.46159,              1.0173,             0.93838,             0.94627,                 0.2,              3.9727,                   0,             0.01558,             0.73396,             0.35505,                   0,             0.09956,             0.41519,                   0,                   0,                   0,                 0.5,             0.75201,                   0,                   0,              4.1718
                   0,                   0,                   0,                   0,             0.13245,             0.10216,            0.041242,             0.00748,                0.01,              0.9118,             0.00048,              3.7675,             0.82294,             0.09864,             0.06069,             0.33242,               1.227,              1.0386,              1.0185,                 0.2,              4.3225,                   0,              0.0129,             0.68503,             0.37814,                   0,             0.09491,             0.49818,                   0,                   0,                   0,                 0.5,             0.81636,                   0,                   0,              3.7617
          0.00079816,             0.10458,          0.00069491,          0.00023215,             0.12058,            0.097007,            0.050061,             0.00748,             0.01141,             0.95636,             0.00048,              2.6376,             0.90745,             0.12401,             0.05551,             0.48115,             0.98803,              1.1295,             0.87028,                 0.2,              3.8447,                   0,             0.01335,             0.64481,             0.39596,                   0,             0.09262,             0.45147,                   0,                   0,                   0,                 0.5,             0.70003,                   0,                   0,                4.33
                   0,                   0,                   0,                   0,             0.12353,             0.06567,            0.038182,             0.00956,             0.01305,             0.84733,             0.00048,              3.6368,             0.87765,             0.10941,             0.05766,             0.33968,              1.0877,             0.73335,             0.91759,                 0.2,              3.3431,                   0,              0.0184,             0.73844,             0.50457,                   0,             0.08957,             0.43035,                   0,                   0,                   0,                 0.5,             0.87369,                   0,                   0,              4.0384
          0.00078545,             0.10131,          0.00065679,          0.00022681,            0.092751,              0.1016,            0.050137,             0.00852,             0.01274,             0.97998,              0.0005,              2.8065,             0.84064,             0.11039,             0.04265,             0.42153,              1.1659,               1.054,             0.99743,                 0.2,              3.8213,                   0,             0.01524,              0.7105,             0.35505,                   0,             0.10157,             0.40395,                   0,                   0,                   0,                 0.5,             0.59162,                   0,                   0,              3.9562
